species_key,species_name,lme_id,lme_name
7Q5KP,Antiopella cristata,14,Iberian Coastal
LQ348,Asparagopsis armata,14,Iberian Coastal
LSKVH,Austrominius modestus,14,Iberian Coastal
K7PV,Baccharis spicata,14,Iberian Coastal
MMNXQ,Balanus trigonus,14,Iberian Coastal
MPMK,Botrylloides diegensis,14,Iberian Coastal
N6PH,Branchiomma luctuosum,14,Iberian Coastal
PS2Z,Calliostoma zizyphinum,14,Iberian Coastal
Q76B,Calyptraea chinensis,14,Iberian Coastal
QSCF,Caprella mutica,14,Iberian Coastal
R48N,Carcinus maenas,14,Iberian Coastal
M9Y66,Caulacanthus okamurae,14,Iberian Coastal
M9Y6S,Caulacanthus ustulatus,14,Iberian Coastal
M9ZRK,Caulerpa prolifera,14,Iberian Coastal
SXGX,Cereus pedunculatus,14,Iberian Coastal
TVBX,Chelon labrosus,14,Iberian Coastal
ML9NC,Chondria coerulescens,14,Iberian Coastal
MVLMW,Chthamalus stellatus,14,Iberian Coastal
N4VRP,Codium fragile,14,Iberian Coastal
YSGX,Coryphoblennius galerita,14,Iberian Coastal
6BVN8,Cynoscion regalis,14,Iberian Coastal
N7ZH7,Dictyota cyanoloma,14,Iberian Coastal
6CY2M,Diplodus vulgaris,14,Iberian Coastal
36WJ4,Distaplia bermudensis,14,Iberian Coastal
6HVS2,Ficopomatus enigmaticus,14,Iberian Coastal
PGMCT,Fucus serratus,14,Iberian Coastal
3GQ9Z,Gobius xanthocephalus,14,Iberian Coastal
6KZCH,Haliotis tuberculata,14,Iberian Coastal
3KP8C,Hemigrapsus takanoi,14,Iberian Coastal
3T7JW,Lepadogaster candolii,14,Iberian Coastal
3VNQM,Littorina obtusata,14,Iberian Coastal
44RHY,Mya arenaria,14,Iberian Coastal
482KT,Nucella lapillus,14,Iberian Coastal
6T3K7,Opuntia elatior,14,Iberian Coastal
9GQWD,Palaemon elegans,14,Iberian Coastal
4CMHV,Parablennius incognitus,14,Iberian Coastal
9XW6F,Penaeus kerathurus,14,Iberian Coastal
RCDCN,Perforatus perforatus,14,Iberian Coastal
4FS5C,Phallusia mammillata,14,Iberian Coastal
4GRD8,Phorcus sauciatus,14,Iberian Coastal
4GRZN,Phoronis hippocrepia,14,Iberian Coastal
4HVTW,Pilumnus hirtellus,14,Iberian Coastal
7WLRT,Procambarus clarkii,14,Iberian Coastal
7935Q,Rana dalmatina,14,Iberian Coastal
6WYS2,Sabella spallanzanii,14,Iberian Coastal
4XPGQ,Siphonaria pectinata,14,Iberian Coastal
6Z55C,Solea senegalensis,14,Iberian Coastal
4YF8Y,Sparus aurata,14,Iberian Coastal
4Z2GH,Sphoeroides pachygaster,14,Iberian Coastal
5387D,Styela clava,14,Iberian Coastal
53WJY,Syngnathus abaster,14,Iberian Coastal
59435,Tritia neritea,14,Iberian Coastal
7CWT9,Truncatella subcylindrica,14,Iberian Coastal
TRJJ4,Undaria pinnatifida,14,Iberian Coastal
NPRJ,Bugula neritina,14,Iberian Coastal
VFD7,Ciona robusta,14,Iberian Coastal
Z4FP,Crambe crambe,14,Iberian Coastal
38PCQ,Ecteinascidia turbinata,14,Iberian Coastal
6RVDM,Necora puber,14,Iberian Coastal
SXTX7,Sphaerococcus coronopifolius,14,Iberian Coastal
5BV6H,Watersipora subtorquata,14,Iberian Coastal
3JBV8,Halichoerus grypus,14,Iberian Coastal
B29V,Agonus cataphractus,6,Celtic-Biscay Shelf
BSN6,Alitta succinea,6,Celtic-Biscay Shelf
66DTZ,Ammothea hilgendorfi,6,Celtic-Biscay Shelf
LCHL9,Amphibalanus eburneus,6,Celtic-Biscay Shelf
7Q5KP,Antiopella cristata,6,Celtic-Biscay Shelf
FNWY,Aplidium glabrum,6,Celtic-Biscay Shelf
LQ348,Asparagopsis armata,6,Celtic-Biscay Shelf
686FK,Asterocarpa humilis,6,Celtic-Biscay Shelf
LSKVH,Austrominius modestus,6,Celtic-Biscay Shelf
MMPRV,Balanus balanus,6,Celtic-Biscay Shelf
MPMK,Botrylloides diegensis,6,Celtic-Biscay Shelf
MPMV,Botrylloides leachii,6,Celtic-Biscay Shelf
PS2Z,Calliostoma zizyphinum,6,Celtic-Biscay Shelf
Q76B,Calyptraea chinensis,6,Celtic-Biscay Shelf
QSCF,Caprella mutica,6,Celtic-Biscay Shelf
R48N,Carcinus maenas,6,Celtic-Biscay Shelf
M9Y66,Caulacanthus okamurae,6,Celtic-Biscay Shelf
SXGX,Cereus pedunculatus,6,Celtic-Biscay Shelf
TB5V,Chaetoceros lorenzianus,6,Celtic-Biscay Shelf
TVBX,Chelon labrosus,6,Celtic-Biscay Shelf
ML9NC,Chondria coerulescens,6,Celtic-Biscay Shelf
MM697,Chorda filum,6,Celtic-Biscay Shelf
MVLMW,Chthamalus stellatus,6,Celtic-Biscay Shelf
N4VRP,Codium fragile,6,Celtic-Biscay Shelf
YSGX,Coryphoblennius galerita,6,Celtic-Biscay Shelf
Z8ZR,Craterolophus convolvulus,6,Celtic-Biscay Shelf
ZJCF,Crisularia plumosa,6,Celtic-Biscay Shelf
32WFN,Cyclopterus lumpus,6,Celtic-Biscay Shelf
358C6,Diadumene lineata,6,Celtic-Biscay Shelf
6CY2M,Diplodus vulgaris,6,Celtic-Biscay Shelf
36PZC,Dipolydora quadrilobata,6,Celtic-Biscay Shelf
3D8MS,Eusarsiella zostericola,6,Celtic-Biscay Shelf
6HVS2,Ficopomatus enigmaticus,6,Celtic-Biscay Shelf
PGHVY,Fucus distichus,6,Celtic-Biscay Shelf
PGMCT,Fucus serratus,6,Celtic-Biscay Shelf
6KZCH,Haliotis tuberculata,6,Celtic-Biscay Shelf
7VBK3,Halisarca dujardinii,6,Celtic-Biscay Shelf
L26KD,Hemigrapsus sanguineus,6,Celtic-Biscay Shelf
3NHYZ,Hymeniacidon perlevis,6,Celtic-Biscay Shelf
3T7JW,Lepadogaster candolii,6,Celtic-Biscay Shelf
3VNQM,Littorina obtusata,6,Celtic-Biscay Shelf
VL8MP,Melanothamnus harveyi,6,Celtic-Biscay Shelf
3ZTFD,Mercenaria mercenaria,6,Celtic-Biscay Shelf
42Z4T,Micromesistius poutassou,6,Celtic-Biscay Shelf
44RHY,Mya arenaria,6,Celtic-Biscay Shelf
482KT,Nucella lapillus,6,Celtic-Biscay Shelf
48GMW,Ocinebrellus inornatus,6,Celtic-Biscay Shelf
9GQWD,Palaemon elegans,6,Celtic-Biscay Shelf
RCDCN,Perforatus perforatus,6,Celtic-Biscay Shelf
4FDSH,Petricolaria pholadiformis,6,Celtic-Biscay Shelf
4FS5C,Phallusia mammillata,6,Celtic-Biscay Shelf
4GRZN,Phoronis hippocrepia,6,Celtic-Biscay Shelf
4HVTW,Pilumnus hirtellus,6,Celtic-Biscay Shelf
4L63D,Polydora cornuta,6,Celtic-Biscay Shelf
RZPNM,Porphyra umbilicalis,6,Celtic-Biscay Shelf
7WLRT,Procambarus clarkii,6,Celtic-Biscay Shelf
7935Q,Rana dalmatina,6,Celtic-Biscay Shelf
4RF6D,Rangia cuneata,6,Celtic-Biscay Shelf
4RSPZ,Reptadeonella violacea,6,Celtic-Biscay Shelf
SHPG2,Rhizosolenia styliformis,6,Celtic-Biscay Shelf
6WYS2,Sabella spallanzanii,6,Celtic-Biscay Shelf
4TV6Q,Sabellaria spinulosa,6,Celtic-Biscay Shelf
79WZK,Schizoporella japonica,6,Celtic-Biscay Shelf
4VRNP,Scolelepis bonnieri,6,Celtic-Biscay Shelf
4VRP9,Scolelepis korsuni,6,Celtic-Biscay Shelf
SSBTH,Solieria chordalis,6,Celtic-Biscay Shelf
4YF8Y,Sparus aurata,6,Celtic-Biscay Shelf
5387D,Styela clava,6,Celtic-Biscay Shelf
