cellCode,lme_id,lme_name
10kmE242N196,14,Iberian Coastal
10kmE242N197,14,Iberian Coastal
10kmE242N198,14,Iberian Coastal
10kmE242N199,14,Iberian Coastal
10kmE242N200,14,Iberian Coastal
10kmE242N201,14,Iberian Coastal
10kmE242N202,14,Iberian Coastal
10kmE242N203,14,Iberian Coastal
10kmE242N204,14,Iberian Coastal
10kmE243N191,14,Iberian Coastal
10kmE243N192,14,Iberian Coastal
10kmE243N193,14,Iberian Coastal
10kmE243N194,14,Iberian Coastal
10kmE243N195,14,Iberian Coastal
10kmE243N196,14,Iberian Coastal
10kmE243N197,14,Iberian Coastal
10kmE243N198,14,Iberian Coastal
10kmE243N199,14,Iberian Coastal
10kmE243N200,14,Iberian Coastal
10kmE243N201,14,Iberian Coastal
10kmE243N202,14,Iberian Coastal
10kmE243N203,14,Iberian Coastal
10kmE243N204,14,Iberian Coastal
10kmE243N205,14,Iberian Coastal
10kmE243N206,14,Iberian Coastal
10kmE243N207,14,Iberian Coastal
10kmE243N208,14,Iberian Coastal
10kmE243N209,14,Iberian Coastal
10kmE243N210,14,Iberian Coastal
10kmE243N211,14,Iberian Coastal
10kmE244N189,14,Iberian Coastal
10kmE244N190,14,Iberian Coastal
10kmE244N191,14,Iberian Coastal
10kmE244N192,14,Iberian Coastal
10kmE244N193,14,Iberian Coastal
10kmE244N194,14,Iberian Coastal
10kmE244N195,14,Iberian Coastal
10kmE244N196,14,Iberian Coastal
10kmE244N197,14,Iberian Coastal
10kmE244N198,14,Iberian Coastal
10kmE244N199,14,Iberian Coastal
10kmE244N200,14,Iberian Coastal
10kmE244N201,14,Iberian Coastal
10kmE244N202,14,Iberian Coastal
10kmE244N203,14,Iberian Coastal
10kmE244N204,14,Iberian Coastal
10kmE244N205,14,Iberian Coastal
10kmE244N206,14,Iberian Coastal
10kmE244N207,14,Iberian Coastal
10kmE244N208,14,Iberian Coastal
10kmE244N209,14,Iberian Coastal
10kmE244N210,14,Iberian Coastal
10kmE244N211,14,Iberian Coastal
10kmE244N212,14,Iberian Coastal
10kmE244N213,14,Iberian Coastal
10kmE244N214,14,Iberian Coastal
10kmE244N215,14,Iberian Coastal
10kmE244N216,14,Iberian Coastal
10kmE245N187,14,Iberian Coastal
10kmE245N188,14,Iberian Coastal
10kmE245N189,14,Iberian Coastal
10kmE245N190,14,Iberian Coastal
10kmE245N191,14,Iberian Coastal
10kmE245N192,14,Iberian Coastal
10kmE245N193,14,Iberian Coastal
10kmE245N194,14,Iberian Coastal
10kmE245N195,14,Iberian Coastal
10kmE245N196,14,Iberian Coastal
10kmE245N197,14,Iberian Coastal
10kmE245N198,14,Iberian Coastal
10kmE245N199,14,Iberian Coastal
10kmE245N200,14,Iberian Coastal
10kmE245N201,14,Iberian Coastal
10kmE245N202,14,Iberian Coastal
10kmE245N203,14,Iberian Coastal
10kmE245N204,14,Iberian Coastal
10kmE245N205,14,Iberian Coastal
10kmE245N206,14,Iberian Coastal
10kmE245N207,14,Iberian Coastal
10kmE245N208,14,Iberian Coastal
10kmE245N209,14,Iberian Coastal
10kmE245N210,14,Iberian Coastal
10kmE245N211,14,Iberian Coastal
10kmE245N212,14,Iberian Coastal
10kmE245N213,14,Iberian Coastal
10kmE245N214,14,Iberian Coastal
10kmE245N215,14,Iberian Coastal
10kmE245N216,14,Iberian Coastal
10kmE245N217,14,Iberian Coastal
10kmE245N218,14,Iberian Coastal
10kmE245N219,14,Iberian Coastal
10kmE246N185,14,Iberian Coastal
10kmE246N186,14,Iberian Coastal
10kmE246N187,14,Iberian Coastal
10kmE246N188,14,Iberian Coastal
10kmE246N189,14,Iberian Coastal
10kmE246N190,14,Iberian Coastal
10kmE246N191,14,Iberian Coastal
10kmE246N192,14,Iberian Coastal
10kmE246N193,14,Iberian Coastal
10kmE246N194,14,Iberian Coastal
10kmE246N195,14,Iberian Coastal
10kmE246N196,14,Iberian Coastal
10kmE246N197,14,Iberian Coastal
10kmE246N198,14,Iberian Coastal
10kmE246N199,14,Iberian Coastal
10kmE246N200,14,Iberian Coastal
10kmE246N201,14,Iberian Coastal
10kmE246N202,14,Iberian Coastal
10kmE246N203,14,Iberian Coastal
10kmE246N204,14,Iberian Coastal
10kmE246N205,14,Iberian Coastal
10kmE246N206,14,Iberian Coastal
10kmE246N207,14,Iberian Coastal
10kmE246N208,14,Iberian Coastal
10kmE246N209,14,Iberian Coastal
