species_key,species_name,lme_id,lme_name
4309906,Alpheus dentipes,14,Iberian Coastal
8416593,Alpheus lobidens,14,Iberian Coastal
7446481,Amathia verticillata,14,Iberian Coastal
5188926,Anomia ephippium,14,Iberian Coastal
4360191,Antiopella cristata,14,Iberian Coastal
9025372,Aplus dorbignyi,14,Iberian Coastal
4361146,Aporrhais pespelecani,14,Iberian Coastal
6531311,Arcuatula senhousia,14,Iberian Coastal
3196524,Ascophyllum nodosum,14,Iberian Coastal
5279840,Asparagopsis armata,14,Iberian Coastal
5279834,Asparagopsis taxiformis,14,Iberian Coastal
7765831,Asterias rubens,14,Iberian Coastal
2115769,Austrominius modestus,14,Iberian Coastal
2267500,Aequorea vitrina,6,Celtic-Biscay Shelf
2337248,Agonus cataphractus,6,Celtic-Biscay Shelf
8187634,Akashiwo sanguinea,6,Celtic-Biscay Shelf
2315382,Alitta succinea,6,Celtic-Biscay Shelf
2315395,Alitta virens,6,Celtic-Biscay Shelf
7446481,Amathia verticillata,6,Celtic-Biscay Shelf
5166760,Ammothea hilgendorfi,6,Celtic-Biscay Shelf
5862470,Amphibalanus eburneus,6,Celtic-Biscay Shelf
5188926,Anomia ephippium,6,Celtic-Biscay Shelf
4360191,Antiopella cristata,6,Celtic-Biscay Shelf
6460808,Aoroides longimerus,6,Celtic-Biscay Shelf
2323931,Aphelochaeta marioni,6,Celtic-Biscay Shelf
2330928,Aplidium glabrum,6,Celtic-Biscay Shelf
4361146,Aporrhais pespelecani,6,Celtic-Biscay Shelf
6531311,Arcuatula senhousia,6,Celtic-Biscay Shelf
5200467,Ascidiella aspersa,6,Celtic-Biscay Shelf
3196524,Ascophyllum nodosum,6,Celtic-Biscay Shelf
5279840,Asparagopsis armata,6,Celtic-Biscay Shelf
7765831,Asterias rubens,6,Celtic-Biscay Shelf
2332123,Asterocarpa humilis,6,Celtic-Biscay Shelf
2115769,Austrominius modestus,6,Celtic-Biscay Shelf
2398634,Abudefduf vaigiensis,13,Mediterranean Sea
2392311,Acanthopagrus bifasciatus,13,Mediterranean Sea
2267500,Aequorea vitrina,13,Mediterranean Sea
5718569,Agetus flaccus,13,Mediterranean Sea
2390581,Alepes djedaba,13,Mediterranean Sea
2315382,Alitta succinea,13,Mediterranean Sea
4309906,Alpheus dentipes,13,Mediterranean Sea
